id;name;geoid;geoname;value;datetime
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;233.54;2021-06-09T13:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;140.26;2021-06-09T14:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;134.8;2021-06-09T15:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;129.49;2021-06-09T16:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;135.81;2021-06-09T17:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;234.64;2021-06-09T18:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;238.64;2021-06-09T19:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;240.71;2021-06-09T20:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;241.9;2021-06-09T21:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;148.93;2021-06-09T22:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;142.17;2021-06-09T23:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;108.8;2021-06-10T00:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;104.22;2021-06-10T01:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;101.43;2021-06-10T02:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;102.1;2021-06-10T03:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;100.41;2021-06-10T04:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;107.68;2021-06-10T05:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;109.45;2021-06-10T06:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;113.05;2021-06-10T07:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;152.58;2021-06-10T08:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;142.18;2021-06-10T09:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;234.88;2021-06-10T10:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;235.63;2021-06-10T11:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;235.75;2021-06-10T12:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;235.67;2021-06-10T13:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;142.21;2021-06-10T14:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;138.88;2021-06-10T15:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;135.57;2021-06-10T16:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;139.25;2021-06-10T17:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;237.18;2021-06-10T18:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;242.53;2021-06-10T19:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;242.83;2021-06-10T20:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;243.48;2021-06-10T21:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;149.36;2021-06-10T22:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;145.54;2021-06-10T23:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;109.81;2021-06-11T00:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;106.78;2021-06-11T01:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;101.05;2021-06-11T02:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;98.04;2021-06-11T03:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;96.14;2021-06-11T04:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;99.34;2021-06-11T05:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;109.02;2021-06-11T06:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;114.68;2021-06-11T07:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;152.68;2021-06-11T08:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;142.59;2021-06-11T09:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;233.73;2021-06-11T10:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;234.14;2021-06-11T11:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;234.82;2021-06-11T12:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;234.09;2021-06-11T13:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;140.89;2021-06-11T14:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;138.98;2021-06-11T15:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;137.49;2021-06-11T16:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;137.62;2021-06-11T17:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;234.36;2021-06-11T18:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;241.17;2021-06-11T19:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;244.23;2021-06-11T20:00:00+02:00
